"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000260892",3047.05842227411,9.97475158051285,0.451653052582383,12.0528406754047,1.87378998262133e-33,6.35544791839865e-32,"CTD-2026K11.1"
"ENSG00000121068",1923.82584609979,9.43596962810373,0.458982466116727,11.5106326304833,1.16619740882891e-30,3.46013923084427e-29,"TBX2"
"ENSG00000260139",2015.0509838146,9.2294708431534,0.471777915008346,11.3933054639374,4.51529307626252e-30,1.30102066643596e-28,"CSPG4P13"
"ENSG00000282304",1382.65629356704,9.21621446153467,0.455003022373337,11.2382506130141,2.64573231703667e-29,7.30994531285954e-28,"RP11-1223D19.3"
"ENSG00000250072",1357.8088186345,9.0808759992157,0.461950121167774,11.135469010815,8.43000823855993e-29,2.27942439514559e-27,"CTC-529P8.1"
"ENSG00000188064",3287.61229515287,8.70194016134137,0.406198053069315,18.9045362644073,1.04655579681782e-79,1.51838187719816e-77,"WNT7B"
"ENSG00000111341",241845.296155441,8.59918738732894,0.151280632451773,56.8046727287903,0,0,"MGP"
"ENSG00000148600",865.966043509307,8.57261868664916,0.469054666650802,10.6152887871747,2.53010846362712e-26,6.09112515651282e-25,"CDHR1"
"ENSG00000146674",444947.346101152,8.43480080811563,0.145155418396442,58.0930131299523,0,0,"IGFBP3"
"ENSG00000204941",945.639638027466,8.43309236456023,0.481107686458976,10.5490663039133,5.13043839422546e-26,1.21296380527941e-24,"PSG5"
"ENSG00000282785",708.782679306885,8.25024682802369,0.478126506675085,10.3128677267453,6.16342195423257e-25,1.37804574773045e-23,"RP11-1223D19.2"
"ENSG00000211445",158377.155394976,8.21745269489247,0.138402201453107,59.3271610423655,0,0,"GPX3"
"ENSG00000128510",39347.7412412494,8.05713470628694,0.158024382749814,50.8322947628369,0,0,"CPA4"
"ENSG00000254894",774.180539889485,8.0518153039846,0.492939870467759,10.2090990613001,1.80533296245222e-24,3.94799706410368e-23,"NAV2-AS1"
"ENSG00000150630",23649.1890827791,8.04176185917512,0.399455958492674,20.2006124082963,9.66907450560287e-91,1.80932556686094e-88,"VEGFC"
"ENSG00000205426",593.119639096213,7.84867437292285,0.492757628354897,9.96176624363984,2.2404645117021e-23,4.60595869091118e-22,"KRT81"
"ENSG00000127951",29538.1948879799,7.82904847217827,0.356250800685268,21.9931556793915,3.3487163904616e-107,9.19055213362186e-105,"FGL2"
"ENSG00000109099",55549.4672330149,7.76032808232374,0.382669484153756,20.4015800079572,1.61899106480268e-92,3.13646186636538e-90,"PMP22"
"ENSG00000136869",531.133949522795,7.55253860361919,0.504099431124433,9.71345140135342,2.64234933208701e-22,5.12023249783092e-21,"TLR4"
"ENSG00000271503",593.919794556023,7.46242493655288,0.512564302778456,9.70578562147907,2.84873147318815e-22,5.50587572405977e-21,"CCL5"
"ENSG00000270607",721.984517573188,7.31258793339873,0.524812421321559,9.72140783217376,2.44378990264545e-22,4.74270929014291e-21,"RP11-359E10.1"
"ENSG00000188643",45219.712769558,7.2768264857876,0.361271877529863,20.2151938043744,7.19621418760238e-91,1.35428638888284e-88,"S100A16"
"ENSG00000134013",395124.680243391,7.19914589187956,0.31978812703526,22.5696005972603,8.62212090991093e-113,2.62926787080562e-110,"LOXL2"
"ENSG00000111863",571.233748791563,7.13914541943242,0.52599630309083,9.48938366021913,2.32404292838198e-21,4.26882486354334e-20,"ADTRP"
"ENSG00000245067",7837.54023813138,7.12434253098744,0.200363519987636,35.2887971357321,8.72306289097249e-273,1.79553345782055e-269,"IGFBP7-AS1"
"ENSG00000240583",98170.3410096782,7.08224348296047,0.372646394903059,19.111363541775,2.03092317704196e-81,3.11099646105581e-79,"AQP1"
"ENSG00000269745",653.565763248202,7.07076216142221,0.532123870697431,9.52913276703043,1.58602591234948e-21,2.93945849168924e-20,"AC006262.10"
"ENSG00000173546",41732.5147932351,7.00542648149583,0.374753525734607,18.7817171009612,1.06577084817218e-78,1.52609117885664e-76,"CSPG4"
"ENSG00000174640",580.361737030574,6.98682652781792,0.532721643508013,9.41171406546515,4.88111008503085e-21,8.79882208759749e-20,"SLCO2A1"
"ENSG00000197496",570.349306921064,6.95822605194186,0.53346402945362,9.38550300499073,6.26168396399918e-21,1.12138281495568e-19,"SLC2A10"
"ENSG00000111186",30238.3726307096,6.91965886200192,0.241943145659067,28.5727172024247,1.46694594147405e-179,1.30574047666233e-176,"WNT5B"
"ENSG00000005884",146832.539031964,6.85465620661693,0.213283805120559,32.1404775454569,1.19986530854208e-226,1.71810278571847e-223,"ITGA3"
"ENSG00000274376",426.426959469483,6.79975429854075,0.532846961607719,9.12857713490396,6.94054586415511e-20,1.16920684138151e-18,"ADAMTS7P1"
"ENSG00000147573",354.313986068481,6.73003092225724,0.530807355162047,8.98870135610117,2.50168798743358e-19,4.05665151049422e-18,"TRIM55"
"ENSG00000163661",1008438.7871648,6.72193887919942,0.483085700031934,14.4281816748064,3.4403186553918e-47,1.95014551801504e-45,"PTX3"
